Node1,Node2,Weight
AATF,BAX,0.646928199
AATF,LDOC1,-0.253903603
AATF,POLR2J,0.455182551
AATF,TSG101,0.453820418
ABL2,BTF3,0.031121245
ACAA1,PCCA,-0.009622685
ACAA2,PCCA,0.372624722
ACADS,ECHS1,0.110618974
ACAT1,AACS,-0.543760507
ACAT1,HMGCS2,-0.776263246
ACAT1,MYC,0.147505859
ACTB,ACTR3C,-0.147407544
ACTB,AHNAK,0.066083369
ACTB,ARHGAP10,0.034239637
ACTB,CTNNA1,0.346416572
ACTB,EGR1,0.353665927
ACTB,EGR3,0.415499164
ACTB,ITGA2,0.413252712
ACTB,ITGA6,0.519888083
ACTB,ITGA9,0.454860628
ACTB,ITGB8,0.364965177
ACTB,MYO10,0.503828312
ACTB,MYO1B,-0.657945952
ACTB,MYO5A,0.083349297
ACTB,SMARCA4,0.556054321
ACTB,SMARCB1,0.414657961
ACTB,STK3,0.031016029
ACTB,WAS,0.869706389
ACTB,WASF1,-0.014823854
ACTB,WASF2,0.348241764
ACTG1,CTNNA1,-0.021331137
ACTG1,EGR1,0.802774015
ACTG1,EGR3,0.441372526
ACTG1,NR3C2,-0.496477106
ACTG1,SMARCB1,0.249578145
ACTG1,STK3,-0.70803335
ACTL6A,TRRAP,0.745685984
ACTL6B,EGR3,-0.253369164
ADH1A,CYP26A1,0.332440036
ADH1A,GSTA3,0.146491378
ADH1A,GSTA4,0.306897153
ADH1A,GSTM1,-0.580553822
ADH1A,GSTM2,-0.566237162
ADH1A,GSTM3,0.104934299
ADH1A,GSTM4,-0.532042059
ADH1A,GSTM5,-0.504300839
ADH1A,GSTO1,0.077517591
ADH1A,GSTO2,-0.381234568
ADH1A,GSTP1,-0.6990728
ADH1A,GSTT1,-0.33075994
ADH1A,MGST1,-0.00268084
ADH1A,MGST2,0.240140572
ADH1A,MGST3,0.285015106
ADRA1A,FOSB,-0.716488216
AGTR1,ETV4,0.097535938
AGTR1,POU2F1,0.534166988
AGTR1,SERPINE1,0.490326315
AGTR1,SND1,0.528464904
AGXT2,ABAT,0.073576978
AHNAK,EBF1,-0.254403921
AKR1B10,MYC,0.417932507
AKT1,EZH2,0.672375162
AKT1,MDM4,0.175502109
AKT1,RPS6KB1,0.218255562
AKT2,BAD,-0.417720357
AKT2,EBF1,-0.133865176
AKT2,ESR1,0.221870978
AKT2,RPS6KB1,-0.332374852
AKT2,TSC1,-0.35894261
AKT3,BAD,0.426660113
AKT3,C6,0.342316781
AKT3,C7,0.581670454
AKT3,C8A,0.051827525
AKT3,C8B,0.109730909
AKT3,C9,0.181177299
AKT3,CDKN1A,0.481443378
AKT3,HSP90AA1,-0.291572988
AKT3,HSP90AB1,0.231563396
AKT3,PPP2R5A,-0.450209361
AKT3,PTK2,-0.382335555
AKT3,RHOB,-0.120987588
AKT3,RPS6KB1,0.298795806
AKT3,THEM4,-0.284343303
AKT3,TSC2,0.236926341
ALDH1B1,ACYP1,0.453207588
ALDH1B1,ADH1A,-0.039009477
ALDH1B1,AOC1,0.34539943
ALDH2,ACYP1,0.411172524
ALDH2,ADH1A,-0.234130345
ALDH2,ADH1B,0.213881408
ALDH2,ADH1C,0.485404522
ALDH2,ADH4,0.049607855
ALDH2,AKR1B10,-0.007409621
ALDH2,AOC1,-0.375865778
ALDH2,BBOX1,-0.04654096
ALDH6A1,ABAT,0.542902208
ALDH6A1,ATF2,-0.398023193
ALDH6A1,MYC,0.250286449
ALDOB,FBP1,0.970853186
AMDHD1,UROC1,0.533766489
ANAPC11,PTTG1,0.588260914
ANAPC5,FOS,0.178063357
ANAPC5,FOSB,0.387458578
ANAPC5,MYC,-0.138108074
ANAPC5,PTTG1,0.395300933
ANAPC7,PTTG1,0.604966671
ANKZF1,AURKB,0.013296937
ANKZF1,CA2,0.129057825
AOC1,INMT,0.086536021
APC,AXIN1,0.41721783
APC,CTNNB1,-0.334422984
APC,F8,0.256455111
APC,POU2F1,-0.261066477
APC,PTGS2,0.363486151
APC,PTPN13,-0.111222369
APC,TCF3,0.131968984
APC2,CTNNB1,-0.058659917
ARAF,HRAS,0.157129427
ARAF,KRAS,0.00767313
ARAF,NRAS,-0.550953494
ARAF,PRKCD,0.240007181
ARAF,YWHAB,-0.307821057
ARAF,YWHAG,0.129830971
ARAF,YWHAZ,0.163691241
ARF1,MDM4,-0.184237563
ARF1,NPM1,-0.690552979
ARF1,WBP11,0.082864507
ARID1A,POU2F1,-0.296382202
ARID1A,SMARCA4,0.851753025
ARID1A,SMARCB1,0.521510461
ARID1B,FOSB,0.214589372
ARID1B,SMARCA2,0.084855899
ARID1B,SMARCA4,-0.169239755
ARID1B,SMARCB1,-0.467496024
ARID1B,TCF3,0.108529606
ARID4B,SAP130,-0.093717819
ASL,ADSL,-0.564032732
ASS1,ADSS1,-0.528973037
ASS1,ASL,0.399759758
ATF2,ADRA1B,-0.331369604
ATF2,AHCTF1,0.427107053
ATF2,ALDH18A1,0.010827442
ATF2,AQP1,-0.327156215
ATF2,ARF1,-0.424034694
ATF2,ARID1B,0.40125242
ATF2,ARID2,0.8253486
ATF2,BAZ1B,0.23251786
ATF2,C1orf35,-0.172637606
ATF2,C6orf62,0.602334883
ATF2,CCDC124,-0.572759586
ATF2,CCDC86,-0.401348374
ATF2,CDKL5,-0.000762146
ATF2,CEP55,0.35667267
ATF2,CHD7,-0.014389934
ATF2,COL15A1,-0.346848957
ATF2,COPA,-0.189226822
ATF2,DCUN1D3,0.596352414
ATF2,DNAJC9,0.255249649
ATF2,EBF1,-0.064258925
ATF2,EGR1,0.099050599
ATF2,ENOPH1,0.187733755
ATF2,ENSA,0.562359671
ATF2,EXOC6B,0.548067385
ATF2,FAM50A,-0.187172091
ATF2,FAM91A1,0.136763416
ATF2,FAS,-0.27880001
ATF2,FBXO4,0.191213449
ATF2,FGF13,0.126146818
ATF2,FOSB,0.217960679
ATF2,GABARAPL1,0.122644867
ATF2,GGNBP2,0.775242423
ATF2,HDAC4,-0.120123812
ATF2,IRAK1,-0.324962635
ATF2,ITGB8,0.097577373
ATF2,JDP2,0.070039575
ATF2,KCNN2,0.082689765
ATF2,KCNN3,-0.25671941
ATF2,KDM5B,0.240654502
ATF2,KIF18A,0.468800148
ATF2,KLF13,-0.303185414
ATF2,LIG3,0.076735934
ATF2,LPP,0.767711933
ATF2,MCM10,-0.036640175
ATF2,MRPL34,-0.276672838
ATF2,NCOA6,0.635886787
ATF2,NDUFA2,-0.093133184
ATF2,NEDD1,0.624732027
ATF2,NPM1,-0.157136755
ATF2,NUP133,0.470177833
ATF2,ONECUT2,0.116039699
ATF2,OSGEPL1,-0.362921572
ATF2,PEX5,-0.121005772
ATF2,PFDN6,-0.193911843
ATF2,PHACTR3,-0.649340965
ATF2,POGK,-0.360039661
ATF2,PTGS2,-0.145992446
ATF2,RAB25,0.222089356
ATF2,RAP2A,0.245414182
ATF2,RBM12,0.627276094
ATF2,RCC2,0.104803295
ATF2,RNF44,-0.160740239
ATF2,RNMT,0.298868649
ATF2,RPS27,0.596792057
ATF2,RUSC1,-0.574954173
ATF2,RUVBL2,-0.761559279
ATF2,SAFB2,0.249266639
ATF2,SART3,0.322129386
ATF2,SLC16A2,-0.66830427
ATF2,SLC25A37,0.382844338
ATF2,SMARCA2,0.42489353
ATF2,SMARCD1,-0.364518907
ATF2,SNRNP40,0.095218081
ATF2,STAMBP,0.072774541
ATF2,STAU2,-0.297944036
ATF2,STRBP,0.345706224
ATF2,TAF2,-0.158870499
ATF2,TAPT1,0.204619036
ATF2,TNF,0.07575914
ATF2,TSPAN7,-0.202622436
ATF2,UCK2,-0.309951661
ATF2,ZBTB37,0.672209945
ATF2,ZCCHC17,0.659901891
ATF2,ZNF746,-0.272601888
ATF5,ACBD4,-0.15425608
ATF5,ADK,-0.782709156
ATF5,ADRA1B,-0.081198294
ATF5,CDKL5,0.089254091
ATF5,CENPE,0.494659973
ATF5,CEP55,0.621781439
ATF5,CIRBP-AS1,0.057765134
ATF5,COPA,0.057279234
ATF5,DNAJC7,0.533389766
ATF5,DNAJC9,0.699430025
ATF5,ENOPH1,0.042182383
ATF5,FBXO4,-0.437109785
ATF5,FGF13,-0.413254839
ATF5,GGNBP2,0.608826964
ATF5,HHIP,0.122952675
ATF5,HNRNPA2B1,0.255455359
ATF5,HNRNPU,0.813886153
ATF5,IGF2BP2,0.711727207
ATF5,JDP2,0.317499329
ATF5,KAT7,0.742963378
ATF5,KCNN2,0.137988593
ATF5,KLF13,0.324242227
ATF5,KLHL12,-0.451113518
ATF5,KRTCAP2,-0.160209412
ATF5,LIG3,0.570633591
ATF5,LOX,0.115544373
ATF5,LPP,0.426619142
ATF5,MCAM,0.703677771
ATF5,NEDD1,0.424195608
ATF5,NPM1,-0.230396555
ATF5,NUDT3,0.781350919
ATF5,ONECUT2,-0.346905932
ATF5,PCDH9,0.607462984
ATF5,PEX5,0.313812558
ATF5,PFDN6,0.171377774
ATF5,PHACTR3,-0.216485786
ATF5,RAD51C,0.495049624
ATF5,RNF44,0.474427408
ATF5,RPS27,0.15309507
ATF5,RUSC1,0.212205799
ATF5,SAFB2,0.899563114
ATF5,SLC5A7,-0.246271857
ATF5,SND1,0.227644774
ATF5,STAMBP,0.513205961
ATF5,TAF2,-0.4893908
ATF5,TAPT1,-0.024881534
ATF5,TSPYL1,0.277147853
ATF5,UCK2,-0.304330173
ATF5,ZNF711,0.306686116
ATF5,ZNF746,-0.548930807
ATF5,ZWILCH,0.55211612
ATP6V1F,EGR2,0.113871917
ATP6V1F,EGR3,0.518738912
AXIN1,PIAS1,-0.200408363
B4GALT3,ATF2,-0.550854837
B4GALT3,ST3GAL3,-0.445721697
BAD,EGR1,0.508613433
BAD,MAPK3,0.066704935
BAD,TCF3,0.649471322
BARD1,BRD7,0.272177791
BARD1,POU2F1,0.779975681
BARD1,SETDB1,0.411636591
BCL2L1,BAX,0.677003641
BDP1,POLR3F,0.481037122
BHLHE40,ABCF1,-0.777937883
BHLHE40,BAX,-0.36122711
BHLHE40,CCDC86,-0.67742062
BHLHE40,CTSA,-0.70086914
BHLHE40,CUTA,-0.835778544
BHLHE40,FAM168B,-0.537168337
BHLHE40,MIEN1,-0.164407006
BHLHE40,S100PBP,0.726495423
BHLHE40,SETDB1,-0.72152028
BHLHE40,U2SURP,0.351157154
BHMT,DMGDH,0.280466579
BMP5,BMPR1A,0.127234955
BMP8A,BMPR1A,0.224428551
BRAF,EGR1,-0.004014917
BRAF,FOS,0.214932083
BRAF,HRAS,-0.065789247
BRAF,KRAS,0.047324463
BRAF,NRAS,0.638192492
BRCA1,ASPM,0.277769386
BRCA1,AURKA,-0.304218058
BRCA1,DDB2,0.220574692
BRCA1,ETV4,0.475168058
BRCA1,KPNA2,-0.673537032
BRCA1,MNAT1,0.643721091
BRCA1,POU2F1,0.501424819
BRCA1,SMC1A,-0.37750457
BRCA1,TRRAP,-0.3501077
BRCA2,BUB1B,0.842906557
BRCA2,CCNE1,0.685334636
BRCA2,FANCG,0.732419669
BRCA2,PSMD3,0.40586538
BRCA2,RPA1,0.246218973
BRCA2,SEM1,0.158685816
BRD7,BHLHE40,0.514564718
BRD7,PAFAH1B3,-0.468195349
BRD7,PTPN13,0.164905389
BRD7,RPLP1,0.612112549
BRD8,TRRAP,0.539146036
CAMK1,EGR2,0.295286063
CAMK1,EGR3,0.249846583
CAMK2B,EGR1,0.125157351
CAMK2B,EGR2,-0.464501799
CAMK2B,EGR3,0.088031948
CAT,EGR3,-0.438969757
CAT,NFE2L2,0.386420973
CCNA2,ATF2,0.390698385
CCNA2,E2F2,-0.008913833
CCNA2,E2F4,-0.499483945
CCNA2,ETS2,0.134487158
CCNA2,MYC,-0.505790937
CCNA2,PTMA,0.136687164
CCNA2,UBTF,-0.297305614
CCNB1,FOXM1,0.530787839
CCNB1,PTMA,-0.286459458
CCNB1,PTTG1,0.849625061
CCNB2,ANAPC11,0.47570753
CCNB2,ANAPC7,0.648655062
CCND1,ATF2,0.557094626
CCND1,BRCA1,-0.033397546
CCND1,CREB3L2,0.592581066
CCND1,CREB3L4,0.192007971
CCND1,CTNNB1,-0.056798792
CCND1,E2F4,0.182755568
CCND1,E2F8,0.330119116
CCND1,ESR1,0.314773064
CCND1,ETS2,0.036144588
CCND1,FOS,0.305575376
CCND1,HEY1,-0.434458593
CCND1,MAPK1,0.135745626
CCND1,MAPK3,0.015192876
CCND1,MYC,-0.19688938
CCND1,NELFCD,0.410544623
CCND1,NPM1,-0.597011689
CCND1,POU2F1,0.655067206
CCND1,RB1,0.15455319
CCND1,SMARCA4,0.503921566
CCND1,TCF7,-0.431551034
CCND1,TCF7L1,0.533849395
CCNE1,EGR2,-0.06637934
CCNE1,EGR3,0.154465011
CCNE1,EZH2,0.572139894
CCNE1,SMARCA4,0.729628387
CCNE1,TCF19,0.851612748
CD14,ATF2,-0.026117509
CD14,TLR4,0.436693046
CDC20,FBXO5,-0.120873271
CDC20,NFYC,0.324706993
CDC20,PTTG1,0.841038994
CDC23,NFYC,0.165717426
CDC23,PTTG1,0.310245429
CDC23,RAD54B,-0.128801822
CDC25B,FOXM1,0.470642867
CDC25C,PPP1CC,0.267555308
CDC6,FOXM1,0.751235823
CDK1,FOXM1,0.540034204
CDK1,HMGA1,0.274871241
CDK1,MDM4,0.11645999
CDK1,NPM1,0.580527383
CDK1,PTMA,0.138484804
CDK1,PTTG1,0.864436603
CDK7,ERCC3,0.399319752
CDK7,PCGF6,0.184376655
CDKN1A,EZH2,-0.231895245
CDKN1A,FUBP1,-0.3641317
CDKN1A,NELFCD,-0.403574465
CDKN1A,NPM1,-0.580662351
CDKN1A,PTMA,0.636308826
CDKN1A,TAF5,-0.040170452
CDKN1A,TSG101,-0.200574274
CDKN1A,XRCC6,-0.394289669
CDKN2A,EZH2,0.510870068
CDKN2A,FOXM1,0.350505436
CDKN2A,MCM5,0.246096156
CDKN2C,EGR2,0.335540734
CDKN2C,EGR3,-0.283393476
CDKN2C,RBBP5,-0.159654326
CDKN2C,WDR5,0.404477374
CENPS,FANCI,-0.037642331
CENPX,FANCI,-0.411225231
CFI,C3,-0.19688338
CITED2,LHX2,-0.077892109
CKS1B,NFYC,0.071187891
CKS1B,SKP2,-0.527807006
CKS2,YBX1,0.540581217
CLEC4M,IL10,0.074556471
CLOCK,CSNK1D,0.279748834
CNOT3,CAND1,-0.341285919
CNOT3,CNOT1,-0.259041403
CNOT4,CNOT1,0.166205859
CNOT4,UBE2D2,-0.120581865
CREB3L2,EGR1,0.519569022
CREB3L4,EGR1,-0.472829836
CSNK1A1,HMGB2,0.659124795
CSNK1A1,MDM4,0.299593782
CSNK2A1,ATF2,-0.147891721
CSNK2A1,BDP1,-0.019428238
CSNK2A1,BRCA1,-0.669106526
CSNK2A1,CUX2,0.206359411
CSNK2A1,EGR1,0.280070903
CSNK2A1,MAZ,0.362289621
CSNK2A1,SSRP1,0.44357768
CSNK2A1,UBTF,-0.494476904
CSNK2A1,ZHX1,-0.200508565
CTNNB1,ATF2,0.468573519
CTNNB1,AXIN1,-0.738588613
CTNNB1,CSNK2A1,-0.229964911
CTNNB1,DLG5,0.232447914
CTNNB1,EGR1,-0.268356656
CTNNB1,ESR1,0.354692433
CTNNB1,FYN,0.144676764
CTNNB1,NDRG1,-0.445711653
CTNNB1,PECAM1,-0.13799375
CTNNB1,PTGS2,-0.329325778
CTNNB1,PTPN13,0.061519111
CTNNB1,RUVBL2,-0.217031644
CTNNB1,SMAD2,0.239488794
CTNNB1,SMAD3,0.601844447
CTNNB1,SMARCA4,-0.486807578
CTNNB1,TCF3,-0.614542429
CTNNB1,TERT,-0.219269984
CTNNBL1,STAMBP,-0.530444337
CYP1A2,CYP2C19,-0.377263877
CYP1A2,CYP2C8,0.39851855
CYP1A2,CYP2C9,0.893456393
CYP1A2,CYP2J2,0.497092421
CYP1A2,FOS,-0.32667085
CYP1A2,GSTO2,-0.428351033
CYP1A2,NAT2,0.774132313
CYP26A1,CYP2B6,-0.196075311
CYP2A6,CYP2B6,0.639407979
CYP2A6,CYP2C9,0.017862397
CYP2A7,CYP26A1,-0.36733975
CYP2B6,EGR1,0.453777271
CYP2C19,ESR1,-0.66093471
CYP2C8,CYP26A1,0.432137929
CYP2C9,CYP26A1,0.870922774
CYP2C9,NCOA6,-0.5685177
CYP8B1,AKR1D1,-0.439897417
CYP8B1,TP53,0.215456056
DACH1,UBE2I,-0.03237141
DBF4,E2F4,-0.484366554
DBF4,EGR1,0.601997485
DBF4,MCM2,0.265049951
DBF4,MCM3,0.216268245
DBF4,MCM5,0.250835726
DBF4,MCM7,0.042013022
DCN,NR1H4,-0.536765886
DCTN2,EGR2,-0.431971417
DCTN2,EGR3,-0.00069622
DCTN2,TUBA1B,0.577592951
DCTN4,HSF2,0.431980232
DCTN4,TUBA1B,-0.459265911
DDB2,CUL4A,-0.126868515
DDB2,CUL4B,-0.386570504
DDX20,DHX9,0.280203171
DDX20,GEMIN5,-0.400251342
DDX20,SNRPD2,0.08535009
DDX20,SNRPE,0.261975326
DDX20,SNRPF,-0.369652141
DGKQ,PLCD3,0.062710014
DGKZ,EGR3,0.429334676
DGKZ,PLCD3,-0.322364641
DNAJC2,HSPA14,0.830921686
DNMT3A,CBX1,0.656402414
DNMT3A,EZH2,0.598460176
DNMT3A,PIAS1,0.272546835
DNMT3A,POU2F1,-0.160550053
DNMT3A,SETDB1,0.306136059
DNMT3A,SUV39H1,0.525465762
DNMT3A,TCF3,0.807276674
DNMT3A,UBE2I,0.293903499
DR1,NR2C2,0.612651383
DR1,POLE3,0.271065884
DR1,PTGS2,0.437304172
DTYMK,MYC,0.099445499
DTYMK,TK1,0.567249933
DUSP1,ATF2,0.26328359
DUSP1,ATF5,0.265328229
DUSP1,MYC,0.206151113
DUSP1,NFE2L2,0.223422589
DUT,E2F4,-0.242112601
DUT,ESR1,0.616822074
DUT,MYC,0.585483645
DUT,TK1,0.182748773
DVL1,APC,-0.778086352
DVL1,BRD7,0.416352584
DVL1,CTNNB1,0.208858646
DVL1,EBF1,0.097846302
DVL1,FRAT1,-0.098685606
DVL1,FRAT2,-0.039964015
DVL1,MYC,0.57570638
DVL1,NKD2,-0.24301298
DVL1,SMAD2,0.307658422
DVL1,SMAD3,0.523819204
DVL2,FRAT1,-0.042670778
DVL2,NKD2,0.224136913
DVL2,RNPS1,0.546341791
DVL3,FRAT1,0.536929248
DVL3,KAT7,0.761765824
DVL3,NKD2,-0.544014376
DYNC1H1,SMAD2,0.581252135
DYNC1H1,TUBA1B,0.60576795
DYNC1I2,FOS,-0.27502666
DYNC1I2,TUBA1B,-0.365049186
DYNLL1,EGR2,-0.650348354
DYNLL1,EGR3,0.090165914
DYNLL1,NRF1,-0.440882645
DYNLL1,TUBA1B,0.417493068
DYNLL1,ZMYND11,-0.460602509
E2F2,ACSL1,0.348050434
E2F2,ACTR6,-0.431295961
E2F2,AGBL5,0.113711351
E2F2,AP1S1,-0.186636442
E2F2,APIP,-0.22584004
E2F2,ARHGAP11A,-0.007890143
E2F2,ARID1A,0.153560856
E2F2,ARID3B,0.388601503
E2F2,ARL6IP6,-0.279272683
E2F2,ARSJ,-0.371353603
E2F2,BAP1,0.431814139
E2F2,BMPR1B,0.6907649
E2F2,BRD7,-0.308806728
E2F2,BROX,-0.47518637
E2F2,CA2,-0.161227134
E2F2,CAMK2B,0.223327277
E2F2,CAPRIN1,-0.110779225
E2F2,CBX1,0.199819032
E2F2,CCNE2,0.148282862
E2F2,CDCA3,0.42966817
E2F2,CENPM,0.122952617
E2F2,CHRDL1,-0.019406656
E2F2,CLTA,-0.235488663
E2F2,CNOT10,0.050671204
E2F2,COPS6,0.15366334
E2F2,CSRNP1,-0.091952603
E2F2,CTNNB1,0.016309304
E2F2,CYP2R1,0.242465474
E2F2,DCAF7,0.165992898
E2F2,DENR,0.113710211
E2F2,DHX30,0.227242207
E2F2,DHX9,0.440021359
E2F2,DPF2,0.366497001
E2F2,DTL,0.346608597
E2F2,DTX1,0.172668677
E2F2,EFCAB7,-0.383650411
E2F2,EPM2A,0.069453728
E2F2,FARS2,-0.492015957
E2F2,FBLN1,0.142868327
E2F2,FZD9,0.223164342
E2F2,GALNT11,0.2316212
E2F2,GCHFR,-0.643896371
E2F2,GON4L,-0.025473309
E2F2,GPR158,-0.181903373
E2F2,HAT1,-0.692124924
E2F2,HMGB2,-0.231630369
E2F2,KDM6A,0.212425394
E2F2,KIAA1143,-0.106934904
E2F2,KLHDC3,-0.001805114
E2F2,LBR,0.20887312
E2F2,LHX2,0.064937138
E2F2,LRRC4C,0.033535609
E2F2,MAPRE1,0.118797344
E2F2,MCM10,0.694054275
E2F2,MCM3,0.200626994
E2F2,MCM5,-0.031710766
E2F2,MCM7,0.382683449
E2F2,MELK,0.575786301
E2F2,METTL15,-0.129151942
E2F2,MRPL24,-0.307225721
E2F2,MRPL49,0.699183104
E2F2,MRTO4,0.307558979
E2F2,MSH3,-0.037006262
E2F2,MSH6,0.431483831
E2F2,MYC,-0.30564492
E2F2,MYOZ3,0.379660161
E2F2,MZT1,-0.34064253
E2F2,N4BP2L1,-0.066656426
E2F2,NCBP2,0.522483033
E2F2,NEK2,0.369750003
E2F2,NIPBL,0.176011955
E2F2,NKD2,-0.711566217
E2F2,NPY1R,-0.747742884
E2F2,NR2C2AP,0.255516912
E2F2,NSF,0.013066275
E2F2,NSFL1C,-0.325271114
E2F2,NUP153,-0.261067993
E2F2,NUP155,-0.051322492
E2F2,OAS2,0.042252236
E2F2,OTUD7B,0.370351408
E2F2,PABPC1,0.420314564
E2F2,PARD3,0.51761798
E2F2,PHYHIPL,0.116416262
E2F2,POLE2,0.335486029
E2F2,PPM1D,-0.631843387
E2F2,PRR14L,0.335650954
E2F2,PRRC2C,0.26307826
E2F2,PTGS2,-0.454901647
E2F2,PTMA,-0.52082387
E2F2,PXMP2,-0.717245534
E2F2,RAD51,0.312811969
E2F2,RANBP1,-0.482528463
E2F2,RASSF4,-0.121481891
E2F2,RBM22,0.245744687
E2F2,RBM28,0.119141985
E2F2,RDH16,0.184253507
E2F2,RPL29,0.327082148
E2F2,RPS6KB1,-0.249725447
E2F2,RUSC1,0.20651467
E2F2,SAP30L,0.354332972
E2F2,SDC1,-0.120136148
E2F2,SENP1,0.206485494
E2F2,SERPINE1,0.220292146
E2F2,SETD2,-0.090014339
E2F2,SHB,0.030477542
E2F2,SLC16A2,0.493010586
E2F2,SLC25A20,0.357062035
E2F2,SLC2A3,-0.423829674
E2F2,SLC39A14,-0.097074946
E2F2,SMARCE1,0.227490154
E2F2,SMC4,0.142138317
E2F2,SORL1,0.110970454
E2F2,SPRY2,0.08140952
E2F2,STAG1,0.311565282
E2F2,STK35,0.386335261
E2F2,STOML2,-0.259891067
E2F2,SUV39H1,0.234172395
E2F2,SUZ12,-0.056301355
E2F2,TACC3,-0.004601739
E2F2,TCP1,0.668490642
E2F2,TMEM53,-0.276796666
E2F2,TMPO,-0.431149777
E2F2,TRMT12,-0.035501074
E2F2,TRMT6,0.400665708
E2F2,TSPAN7,-0.148319936
E2F2,TUFT1,0.24627096
E2F2,UBE2S,0.048316923
E2F2,UTRN,0.217050716
E2F2,WNT5A,-0.062757386
E2F2,WNT9A,0.089688922
E2F2,WRAP73,-0.341754089
E2F4,AGBL5,-0.153970523
E2F4,ANLN,-0.407919392
E2F4,AP1S1,-0.263112065
E2F4,ARHGAP11A,-0.425360545
E2F4,ARID1A,0.416182241
E2F4,ARL6IP6,-0.377878933
E2F4,AURKB,-0.248321967
E2F4,BARD1,-0.142782222
